id,codigo,nome,categoria_id,linha_id
"1,RA018,""Leg Press Sentado / Deitado"",2,8"
"2,RA003,""Extensora Carga Lateral"",2,8"
"3,RA004,""Extensora/Flexora Sentada Dupla, Unica Carga"",2,8"
"4,RA005,""Flexora Sentada"",2,8"
"12,RA032D,""Leg Press Horizontal Deitado"",2,8"
"18,RB006,""Pulley com Remada"",9,4"
"19,RB010,""Remada Sentada"",4,8"
"20,RB004,""Remada Baixa Carga Lateral"",4,8"
"21,RC011S,""Supino Sentado Vertical"",3,8"
"22,RC011,""Banco supino reto/inclinado e press de ombro"",3,8"
"23,RC023,""Pec Deck Com Reversao"",9,7"
"28,RC078,""Cross Over Angulado C/ Smith Machine Conj."",7,5"
"29,RD002,""Rosca Scott"",1,8"
"30,RD006,""Rosca Sentada Camber Curl"",9,1"
"31,RD010,""Triceps Dip (Paralelo)"",1,8"
"32,RF013,""Abdominal Costas"",6,8"
"33,RF014,""Abdominal / Dorsal"",9,8"
"34,RF012,""Abdominal Peito"",6,8"
"35,FW3080,""Banco Reto Fixo 1,00m"",9,6"
"36,FW3081,""Banco Reto Fixo 1,20m"",9,6"
"37,FW4003,""Prancha Abdominal"",6,6"
"38,FW4085,""Paralela Abdominal e Triceps"",6,6"
"39,FW4090,""Hiperextensao Lombar 45"",7,6"
"44,BP016,""Remada Cavalinho"",4,6"
"45,CP003,""Supino Canadense"",3,6"
"46,CP004Q,""Supino Reto"",3,6"
"47,CP006RC,""Supino Reto/Incl."",3,6"
"48,CP008Q,""Supino Inclinado"",3,6"
"49,CP009Q,""Supino Declinado"",3,6"
"50,CP013,""Banco Regulavel 1,20m"",9,6"
"52,CP016,""Banco Regulavel Declinado, Reto e Inclinado 1,00m"",9,6"
"53,DP004S,""Scott sent. -  Angulo Regulavel"",1,6"
"55,EP001,""Banco p. Press Sentado"",5,6"
"56,RA016RF,""Leg Press 45"",2,6"
"57,FS1020,""Flexora Deitada"",2,9"
"58,FS1025,""Flexora Sentada"",2,9"
"60,FS1031,""Extensora Apoio Central"",2,9"
"61,FS1040,""Flexora Vertical"",2,9"
"62,FS1050,""Adutor / Abdutor"",2,9"
"63,FS1051,""Adutor "",2,9"
64,FS1052,Abdutor,2,9
"73,FS2040,""Pulley Alto"",4,9"
"74,FS2045,""Remada Baixa"",4,9"
"76,FS2060,""Remada c/ Apoio Peito"",4,9"
